time, Acceleration x, Acceleration y, acceleration z, distance
6736,-0.14,-0.65,9.43,27.55
6753,-0.14,-0.63,9.44,27.46
6770,-0.14,-0.63,9.41,27.55
6787,-0.15,-0.64,9.43,27.44
6803,-0.14,-0.63,9.46,27.56
6821,-0.12,-0.61,9.40,27.56
6837,-0.16,-0.62,9.44,27.46
6853,-0.16,-0.63,9.44,27.55
6872,-0.14,-0.62,9.41,27.46
6887,-0.14,-0.62,9.43,27.46
6904,-0.14,-0.63,9.43,27.56
6922,-0.14,-0.63,9.45,27.46
6937,-0.15,-0.65,9.43,27.44
6955,-0.15,-0.62,9.47,27.44
6972,-0.14,-0.63,9.47,27.44
6987,-0.14,-0.63,9.44,27.46
7005,-0.15,-0.65,9.44,27.46
7022,-0.15,-0.63,9.43,27.44
7037,-0.14,-0.62,9.45,27.56
7055,-0.15,-0.65,9.44,27.46
7072,-0.13,-0.62,9.42,27.46
7088,-0.14,-0.63,9.43,27.56
7105,-0.13,-0.61,9.44,27.44
7122,-0.16,-0.64,9.43,27.56
7138,-0.14,-0.63,9.42,27.56
7155,-0.13,-0.62,9.46,27.46
7173,-0.15,-0.63,9.41,27.56
7189,-0.14,-0.62,9.42,27.56
7205,-0.14,-0.63,9.43,27.55
7224,-0.14,-0.64,9.41,27.56
7239,-0.13,-0.61,9.42,27.46
7256,-0.15,-0.64,9.45,27.55
7274,-0.15,-0.60,9.42,27.46
7289,-0.13,-0.62,9.44,27.46
7307,-0.14,-0.64,9.44,27.56
7324,-0.15,-0.62,9.42,27.44
7340,-0.14,-0.62,9.44,27.44
7357,-0.15,-0.65,9.42,27.46
7374,-0.17,-0.63,9.41,27.46
7390,-0.17,-0.62,9.43,27.46
7407,-0.12,-0.63,9.44,27.44
7425,-0.14,-0.66,9.43,27.44
7440,-0.15,-0.63,9.45,27.56
7457,-0.16,-0.65,9.45,27.44
7475,-0.13,-0.62,9.42,27.56
7491,-0.14,-0.62,9.43,27.55
7507,-0.13,-0.63,9.46,27.46
7525,-0.14,-0.62,9.43,27.56
7541,-0.15,-0.63,9.41,27.55
7558,-0.13,-0.63,9.45,27.44
7575,-0.14,-0.63,9.42,27.55
7591,-0.14,-0.65,9.43,27.44
7608,-0.13,-0.63,9.46,27.56
7626,-0.14,-0.62,9.43,27.56
7642,-0.15,-0.64,9.47,27.46
7658,-0.13,-0.63,9.45,27.56
7676,-0.17,-0.64,9.41,27.46
7692,-0.13,-0.63,9.44,27.44
7709,-0.14,-0.65,9.42,27.56
7727,-0.16,-0.66,9.41,27.44
7742,-0.13,-0.62,9.46,27.44
7759,-0.14,-0.64,9.42,27.46
7777,-0.14,-0.64,9.42,27.46
7792,-0.17,-0.62,9.43,27.55
7810,-0.14,-0.62,9.44,27.44
7827,-0.14,-0.63,9.43,27.46
7842,-0.15,-0.63,9.45,27.55
7860,-0.15,-0.63,9.45,27.46
7877,-0.15,-0.65,9.40,27.56
7892,-0.14,-0.63,9.42,27.56
7910,-0.14,-0.62,9.45,27.44
7927,-0.14,-0.61,9.40,27.56
7944,-0.12,-0.63,9.43,27.55
7960,-0.13,-0.63,9.42,27.46
7977,-0.15,-0.60,9.40,27.56
7994,-0.15,-0.62,9.44,27.56
8010,-0.14,-0.61,9.42,27.55
8028,-0.15,-0.61,9.42,27.56
8044,-0.13,-0.60,9.44,27.44
8060,-0.13,-0.63,9.47,27.55
8079,-0.14,-0.62,9.41,27.55
8094,-0.16,-0.65,9.44,27.46
8111,-0.13,-0.62,9.42,27.56
8129,-0.13,-0.63,9.41,27.44
8144,-0.14,-0.62,9.42,27.44
8162,-0.16,-0.65,9.44,27.55
8179,-0.16,-0.64,9.45,27.44
8195,-0.14,-0.63,9.45,27.44
8212,-0.14,-0.64,9.40,27.46
8229,-0.16,-0.63,9.40,27.46
8245,-0.15,-0.64,9.43,27.56
8262,-0.14,-0.63,9.43,27.44
8280,-0.14,-0.62,9.42,27.56
8295,-0.15,-0.63,9.44,27.55
8312,-0.16,-0.64,9.44,27.46
8330,-0.16,-0.63,9.43,27.56
8346,-0.14,-0.64,9.45,27.56
8363,-0.13,-0.61,9.44,27.48
8381,-0.13,-0.63,9.40,27.56
8396,-0.15,-0.65,9.44,27.46
8413,-0.15,-0.66,9.43,27.56
8431,-0.14,-0.62,9.41,27.55
8446,-0.15,-0.62,9.43,27.44
8463,-0.14,-0.64,9.43,27.56
8481,-0.12,-0.66,9.42,27.46
8497,-0.15,-0.61,9.46,27.44
8514,-0.12,-0.62,9.43,27.56
8531,-0.13,-0.62,9.41,27.44
8547,-0.14,-0.60,9.44,27.44
8564,-0.15,-0.62,9.45,27.55
8582,-0.14,-0.61,9.42,27.46
8597,-0.15,-0.61,9.42,27.46
8614,-0.14,-0.62,9.44,27.46
8632,-0.14,-0.62,9.43,27.46
8647,-0.16,-0.61,9.42,27.56
8665,-0.14,-0.59,9.43,27.46
8682,-0.14,-0.64,9.41,27.46
8697,-0.14,-0.64,9.44,27.55
8715,-0.13,-0.65,9.44,27.46
8732,-0.15,-0.64,9.40,27.46
8748,-0.14,-0.61,9.41,27.56
8765,-0.13,-0.63,9.45,27.46
8782,-0.13,-0.61,9.40,27.56
8799,-0.15,-0.64,9.46,27.56
8815,-0.15,-0.61,9.44,27.46
8833,-0.13,-0.63,9.42,27.56
8849,-0.13,-0.63,9.44,27.46
8865,-0.13,-0.63,9.43,27.56
8883,-0.13,-0.62,9.41,27.56
8899,-0.16,-0.64,9.44,27.46
8915,-0.15,-0.63,9.44,27.56
8934,-0.13,-0.63,9.41,27.56
8949,-0.15,-0.64,9.42,27.46
8967,-0.15,-0.62,9.42,27.56
8984,-0.13,-0.63,9.43,27.46
8999,-0.13,-0.65,9.43,27.46
9017,-0.13,-0.62,9.46,27.46
9034,-0.15,-0.65,9.39,27.44
9050,-0.14,-0.63,9.42,27.56
9067,-0.16,-0.63,9.41,27.46
9084,-0.14,-0.60,9.41,27.46
9100,-0.15,-0.62,9.43,27.55
9117,-0.14,-0.63,9.45,27.46
9135,-0.12,-0.64,9.40,27.56
9150,-0.13,-0.61,9.43,27.56
9167,-0.18,-0.62,9.45,27.46
